,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_criterion,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
18,0.3618037223815918,0.020268545667076834,0.0,0.0,1135,1,1,50,gini,True,"{'n_estimators': 1135, 'min_samples_split': 1, 'min_samples_leaf': 1, 'max_depth': 50, 'criterion': 'gini', 'bootstrap': True}",,,,,,,,28
19,6.028206872940063,0.4348971831587641,0.5138041496276855,0.01796848566757716,928,5,4,5,gini,True,"{'n_estimators': 928, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 5, 'criterion': 'gini', 'bootstrap': True}",0.93375,0.9196875,0.9159375,0.933125,0.9175,0.924,0.007799739578985955,23
20,200.88140525817872,2.10254057872856,1.64100079536438,0.08035426987610196,1757,20,1,150,gini,False,"{'n_estimators': 1757, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_depth': 150, 'criterion': 'gini', 'bootstrap': False}",0.9646875,0.951875,0.953125,0.961875,0.9528125,0.9568749999999999,0.005321683239352019,2
21,81.09709973335266,0.8438912674266972,0.6875999927520752,0.029992465446103962,721,10,4,75,entropy,False,"{'n_estimators': 721, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 75, 'criterion': 'entropy', 'bootstrap': False}",0.96125,0.9465625,0.9465625,0.9559375,0.9484375,0.95175,0.00587500000000002,9
22,91.4453161239624,0.8904847371666342,0.8329838752746582,0.07676345315720288,928,2,3,150,entropy,True,"{'n_estimators': 928, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 150, 'criterion': 'entropy', 'bootstrap': True}",0.96125,0.94625,0.9465625,0.95625,0.9459375,0.9512500000000002,0.0063276427285364565,11
23,62.803493642807005,0.39770996812696535,0.63701171875,0.04411849193176341,721,2,4,75,gini,True,"{'n_estimators': 721, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 75, 'criterion': 'gini', 'bootstrap': True}",0.958125,0.946875,0.944375,0.9559375,0.943125,0.9496875000000001,0.006155536126122571,15
24,17.080394649505614,0.2866272960685075,0.2586990833282471,0.01427691420971905,307,15,3,20,entropy,True,"{'n_estimators': 307, 'min_samples_split': 15, 'min_samples_leaf': 3, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': True}",0.958125,0.9434375,0.9434375,0.9534375,0.9446875,0.948625,0.006045401144671867,16
25,0.7550000190734864,0.019821285017062644,0.0,0.0,2378,1,1,20,entropy,True,"{'n_estimators': 2378, 'min_samples_split': 1, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': True}",,,,,,,,30
26,10.845715427398682,0.1885719401055104,0.09148368835449219,0.005212693759305742,100,2,2,100,entropy,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 100, 'criterion': 'entropy', 'bootstrap': True}",0.9584375,0.9475,0.9496875,0.9596875,0.9490625,0.952875,0.00511737237261469,7
27,58.99079370498657,0.5140625334497788,2.0088008403778077,0.23159394036589742,3000,2,4,10,gini,True,"{'n_estimators': 3000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 10, 'criterion': 'gini', 'bootstrap': True}",0.94875,0.9346875,0.9340625,0.945625,0.9340625,0.9394375,0.006408612369304292,19
28,13.207599592208862,0.1012307518534258,1.1746106624603272,0.019134593205525737,2171,5,4,5,entropy,True,"{'n_estimators': 2171, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 5, 'criterion': 'entropy', 'bootstrap': True}",0.9375,0.923125,0.918125,0.9328125,0.9221875,0.92675,0.00722030556832605,20
29,258.0591979980469,13.79705640718124,2.1284008979797364,0.17826457516139327,2171,2,1,200,gini,True,"{'n_estimators': 2171, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 200, 'criterion': 'gini', 'bootstrap': True}",0.96375,0.9528125,0.9540625,0.9625,0.9521875,0.9570624999999999,0.00500234320094095,1
