mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_criterion,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
266.06389966011045,1.1806481034987677,2.582600164413452,0.18807063925931902,2378,20,2,200,gini,0,"{'n_estimators': 2378, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_depth': 200, 'criterion': 'gini', 'bootstrap': False}",0.9359375,0.931875,0.9265625,0.93,0.93875,0.932625,0.0043057011624124545,6
13.975000667572022,0.18754711025620058,1.4034994125366211,0.16139776602278139,2585,2,4,5,gini,0,"{'n_estimators': 2585, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 5, 'criterion': 'gini', 'bootstrap': False}",0.9096875,0.908125,0.909375,0.9115625,0.9134375,0.9104375000000001,0.0018603595082671693,22
0.3819990634918213,0.0037014501817364373,0,0,1135,1,1,50,gini,1,"{'n_estimators': 1135, 'min_samples_split': 1, 'min_samples_leaf': 1, 'max_depth': 50, 'criterion': 'gini', 'bootstrap': True}",,,,,,,,30
5.08310546875,0.24622478981766388,0.47449474334716796,0.04441150299444035,928,5,4,5,gini,1,"{'n_estimators': 928, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 5, 'criterion': 'gini', 'bootstrap': True}",0.9084375,0.908125,0.9090625,0.9134375,0.9140625,0.9106249999999999,0.0025769410160110476,20
213.9946988582611,1.9139277699563897,1.8061997890472412,0.07174234818327871,1757,20,1,150,gini,0,"{'n_estimators': 1757, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_depth': 150, 'criterion': 'gini', 'bootstrap': False}",0.939375,0.9328125,0.92875,0.931875,0.93875,0.9343124999999999,0.004109820555693389,2
85.73950004577637,0.10975448847500247,0.7104995727539063,0.04963526318035502,721,10,4,75,entropy,0,"{'n_estimators': 721, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 75, 'criterion': 'entropy', 'bootstrap': False}",0.9321875,0.9303125,0.9225,0.9278125,0.9378125,0.930125,0.005037360419902482,11
93.92219977378845,0.6956220853925237,0.7785008430480957,0.03494232473720339,928,2,3,150,entropy,1,"{'n_estimators': 928, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 150, 'criterion': 'entropy', 'bootstrap': True}",0.9321875,0.9309375,0.926875,0.9296875,0.9371875,0.9313750000000001,0.003398069304767027,8
63.46209979057312,0.7893111556608603,0.6825996398925781,0.05682305286253433,721,2,4,75,gini,1,"{'n_estimators': 721, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 75, 'criterion': 'gini', 'bootstrap': True}",0.930625,0.929375,0.9215625,0.9253125,0.936875,0.92875,0.005165238377848618,14
14.545799779891968,0.11110766617744322,0.25249929428100587,0.030111173525882495,307,15,3,20,entropy,1,"{'n_estimators': 307, 'min_samples_split': 15, 'min_samples_leaf': 3, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': True}",0.9271875,0.9259375,0.9240625,0.9246875,0.9334375,0.9270625000000001,0.0033634060117684406,16
0.8464010715484619,0.04043153456325489,0,0,2378,1,1,20,entropy,1,"{'n_estimators': 2378, 'min_samples_split': 1, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': True}",,,,,,,,29
11.534004592895508,0.10173413968129817,0.09039554595947266,0.004862297231487736,100,2,2,100,entropy,1,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 100, 'criterion': 'entropy', 'bootstrap': True}",0.9325,0.934375,0.9259375,0.9278125,0.9375,0.931625,0.004236190800707631,7
46.73229713439942,1.1508317057934143,1.8534012317657471,0.11166603712292114,3000,2,4,10,gini,1,"{'n_estimators': 3000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 10, 'criterion': 'gini', 'bootstrap': True}",0.9178125,0.9171875,0.9165625,0.9190625,0.9284375,0.9198124999999999,0.004391042017562584,19
12.604699563980102,0.7387463856879078,1.3047005176544189,0.1307528701840265,2171,5,4,5,entropy,1,"{'n_estimators': 2171, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 5, 'criterion': 'entropy', 'bootstrap': True}",0.9096875,0.908125,0.9075,0.9115625,0.915625,0.9105000000000001,0.0029221674318902647,21
261.1245054244995,20.605436129061903,2.730999565124512,0.47370193244526904,2171,2,1,200,gini,1,"{'n_estimators': 2171, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 200, 'criterion': 'gini', 'bootstrap': True}",0.9396875,0.935625,0.933125,0.9346875,0.94125,0.936875,0.0030809393859665703,1
