mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fit_prior,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.084999418258667,0.0051103640086719,0.01410064697265625,0.0012416269231403185,1,0,"{'fit_prior': True, 'alpha': 0}",0.8925,0.895,0.89,0.89,0.8903125,0.8915625,0.0019565594803123204,11
0.08659844398498535,0.005426060793338625,0.013600683212280274,0.0011999975257938743,0,0,"{'fit_prior': False, 'alpha': 0}",0.8925,0.895,0.89,0.89,0.8903125,0.8915625,0.0019565594803123204,11
0.08179831504821777,0.0062337272124092236,0.015101289749145508,0.000970302863410046,1,0.1,"{'fit_prior': True, 'alpha': 0.1}",0.9396875,0.94375,0.934375,0.9371875,0.9478125,0.9405624999999999,0.004757395558496265,1
0.08689775466918945,0.006599961750061298,0.01620063781738281,0.0013657468347629488,0,0.1,"{'fit_prior': False, 'alpha': 0.1}",0.9396875,0.94375,0.934375,0.9371875,0.9478125,0.9405624999999999,0.004757395558496265,1
0.08569831848144531,0.003993800398760132,0.015800333023071288,0.000598979458916717,1,0.2,"{'fit_prior': True, 'alpha': 0.2}",0.9384375,0.9428125,0.933125,0.9371875,0.9478125,0.939875,0.005029599884682674,3
0.09049792289733886,0.006039913076761947,0.01780071258544922,0.001805875949280617,0,0.2,"{'fit_prior': False, 'alpha': 0.2}",0.9384375,0.9428125,0.933125,0.9371875,0.9478125,0.939875,0.005029599884682674,3
0.08479971885681152,0.0049458542432071284,0.015600872039794923,0.0016857255594660925,1,0.5,"{'fit_prior': True, 'alpha': 0.5}",0.9325,0.9390625,0.9240625,0.9340625,0.9434375,0.9346250000000002,0.006538348415311021,5
0.07829823493957519,0.0013999123364397887,0.01660046577453613,0.0007338539449465775,0,0.5,"{'fit_prior': False, 'alpha': 0.5}",0.9325,0.9390625,0.9240625,0.9340625,0.9434375,0.9346250000000002,0.006538348415311021,5
0.0800994873046875,0.004328448540714408,0.015700292587280274,0.002039717445200186,1,0.7,"{'fit_prior': True, 'alpha': 0.7}",0.9296875,0.935625,0.9221875,0.9315625,0.9384375,0.9315000000000001,0.005570569988789297,7
0.08409948348999023,0.0021543592486167437,0.015099048614501953,0.001562049936120654,0,0.7,"{'fit_prior': False, 'alpha': 0.7}",0.929375,0.935625,0.9221875,0.9315625,0.9384375,0.9314375,0.005592265864566886,8
0.08499903678894043,0.0019221971787045844,0.015799570083618163,0.001963247469211817,1,1,"{'fit_prior': True, 'alpha': 1}",0.926875,0.9290625,0.92,0.9265625,0.9346875,0.9274374999999999,0.004724437797241056,9
0.08299813270568848,0.008105236852972018,0.012400102615356446,0.0019856426662128853,0,1,"{'fit_prior': False, 'alpha': 1}",0.926875,0.9290625,0.92,0.9265625,0.9346875,0.9274374999999999,0.004724437797241056,9
